nivel;cargo;cbo;descricao
 B  ; MARCENEIRO  ; – 7711-05  ; Confeccionar  e  reparar  móveis  e  peças  e  dar-lhes  o  acabamento  requerido,  utilizando  equipamento  adequado e guiando-se por desenhos e especificações.  
 B  ; MARINHEIRO  ; -  ; Executar manobras de condução, atracação e serviços de manutenção das embarcações,  lançando  e  recolhendo  cabos  e  amarras  e  desempenhando  tarefas  de  limpeza  e  conservação da superfície e compartimentos da coberta, segundo normas e regulamentos  estabelecidos, para auxiliar e manobrar a embarcação e conservar o convés em perfeitas  condições de apresentação e funcionamento.  
 B  ; MARINHEIRO-FLUVIAL  ; -  ; Executar, sob supervisão imediata, serviços de convés, leme e vigia. Auxiliar nas atividades  de ensino, pesquisa e extensão.  
 B  ; MASSAGISTA  ; – 5161-35  ;" Aplicar  massagens  corretivas  ou  estéticas,  mediante  prescrição  médica,  fazendo  compressão  metódica  do  corpo  do  usuário,  ou  partes  dele,  provocando  vibrações  com  aparelhos  apropriados.  Estimular  a  circulação;  relaxar  os  músculos  e  atender  ao  embelezamento do físico e necessidades fisioterápicas dos usuários.   "
 B  ; MESTRE DE REDE  ; -  ; Executar projetos de artes de pesca de acordo com normas pré-estabelecidas. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; MONTADOR/SOLDADOR   ; - 7243-15  ; Unir e cortar peças de ligas metálicas usando processos de soldagem e corte tais como  eletrodo  revestido,  tig,  mig,  mag,  oxigás,  arco  submerso,  brasagem,  plasma.  Preparar  equipamentos, acessórios,  consumíveis de soldagem e corte e peças a serem soldadas.  Aplicar estritas normas de segurança, organização do local de trabalho e meio ambiente. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; MOTOCICLISTA  ; – 5191-10  ; Conduzir  uma  motocicleta,  manipulando  seus  comandos  e  direção  no  trajeto  indicado,  transportando cargas de pequeno volume e expediente em geral.  
 B  ; OPERADOR DE TELE-IMPRESSORA  ; -  ; Operar  máquina,  manejando  as  teclas  correspondentes  aos  prefixos  locais  e  aos  do  destinatário para enviar ou receber mensagens. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; PADEIRO  ; – 8483-05  ; Executar trabalhos de fabricação de pães, preparando e cozinhando massas diversas para  abastecer padarias  e outros estabelecimentos do gênero.  
 B  ; PEDREIRO  ; – 7152 - 10  ; Executar  trabalhos em alvenaria,  concreto  e  outros  materiais,  guiando-se  por  desenhos,  esquemas e especificações, utilizando processos e instrumentos pertinentes ao ofício para  construir, reformar ou reparar prédios e obras similares.  
